t_global,x,y,v,em,es,label
235.011,199,765,0,0,33,4
235.050,197,762,0,0,33,4
235.123,193,760,0,0,33,4
235.195,193,760,0,0,33,4
235.235,188,757,0,0,33,4
235.307,182,754,0,0,33,4
235.379,182,754,0,0,33,4
235.419,180,754,-8,0,32,4
235.491,184,754,0,0,32,4
235.563,184,754,0,0,32,4
235.603,186,752,0,0,32,4
235.676,184,751,0,0,32,4
235.749,184,749,0,0,32,4
235.788,184,749,0,0,32,4
235.862,183,747,0,0,31,4
235.934,181,744,0,0,31,4
235.974,181,744,0,0,43,4
236.048,177,741,0,0,43,4
236.120,172,739,0,0,43,4
236.160,172,739,0,0,42,4
236.234,169,739,0,0,43,4
236.306,171,737,0,0,43,4
236.346,173,737,0,0,42,4
236.418,173,737,0,0,41,4
236.490,175,740,0,0,41,1
236.535,172,742,0,0,41,1
236.607,165,743,0,0,41,1
236.679,165,743,0,0,40,1
